,station,date,pm25,latitude,longitude,sourceid,pm25_xgb,pm25_rf,pm25_lgbm
92,DKJ29 Kantor Walikota Jakarta Barat,2025-03-06,35.847857142857144,-6.1858,106.7377,UdaraJakarta,33.00346,34.228662766350645,33.21087543655026
93,DKJ29 Kantor Walikota Jakarta Barat,2025-03-06,35.847857142857144,-6.1858,106.7377,UdaraJakarta,33.279682,34.44426810900371,33.74029583625829
94,DKJ31 Rusun Marunda,2025-03-06,31.974666666666675,-6.0966,106.963,UdaraJakarta,35.6423,34.53177461412218,35.37748275094143
95,DKJ31 Rusun Marunda,2025-03-06,31.974666666666675,-6.0966,106.963,UdaraJakarta,35.632668,34.489531122843424,35.387227754944504
96,"Duitku PG, Kebon Jeruk",2025-03-06,35.5,-6.1916,106.7588,IQAir,33.05753,34.94933165974088,32.84896344201365
97,"Duitku PG, Kebon Jeruk",2025-03-06,35.5,-6.1916,106.7588,IQAir,33.243332,35.03223262468975,33.41551016356036
98,Duta Niaga Pondok Indah,2025-03-06,36.15384615384615,-6.2887,106.7832,IQAir,40.92002,37.842760300106484,42.89323879277569
99,Duta Niaga Pondok Indah,2025-03-06,36.15384615384615,-6.2887,106.7832,IQAir,42.771397,37.45123143090143,43.35187293477819
100,ERASMUS HUIS DUTCH CULTURAL CENTER,2025-03-06,24.176923076923078,-6.2356,106.8278,IQAir,36.70502,36.616743022071,37.44014721414103
101,ERASMUS HUIS DUTCH CULTURAL CENTER,2025-03-06,24.176923076923078,-6.2356,106.8278,IQAir,36.1091,36.22862775060866,37.49034747908732
102,Gading Harmony,2025-03-06,36.13333333333334,-6.1656,106.8995,IQAir,35.07991,33.33493577673259,35.57847021414231
103,Gading Harmony,2025-03-06,36.13333333333334,-6.1656,106.8995,IQAir,35.07991,33.33493577673259,35.57847021414231
104,Gading Harmony,2025-03-06,36.13333333333334,-6.1656,106.8995,IQAir,35.01986,33.42582787515397,35.461213838713135
105,Gading Harmony,2025-03-06,36.13333333333334,-6.1656,106.8995,IQAir,35.01986,33.42582787515397,35.461213838713135
106,Graha LMU,2025-03-06,44.9375,-6.1839,106.9227,IQAir,43.56101,40.49047509087458,44.304004413938834
107,Graha LMU,2025-03-06,44.9375,-6.1839,106.9227,IQAir,43.540024,40.448877444797105,44.291741197218286
108,Gran Melia Jakarta,2025-03-06,40.75,-6.2348,106.83,IQAir,36.70502,36.616743022071,37.44014721414103
109,Gran Melia Jakarta,2025-03-06,40.75,-6.2348,106.83,IQAir,36.1091,36.22862775060866,37.49034747908732
110,INDODAX,2025-03-06,38.73749999999999,-6.2122,106.8214,IQAir,33.74594,34.12279279285008,33.873186938859135
111,INDODAX,2025-03-06,38.73749999999999,-6.2122,106.8214,IQAir,34.07967,34.128172652986315,33.942129182345575
112,Jakarta-Selatan-CasaGrande,2025-03-06,28.718181818181815,-6.222,106.842,IQAir,32.882835,33.31449686580234,33.40692572677341
113,Jakarta-Selatan-CasaGrande,2025-03-06,28.718181818181815,-6.222,106.842,IQAir,32.91973,33.263001019159944,33.614780973255925
114,Jalan Pasir Putih II,2025-03-06,25.387500000000003,-6.1255,106.8468,IQAir,24.197573,25.254466623153235,23.624126088944056
115,Jalan Pasir Putih II,2025-03-06,25.387500000000003,-6.1255,106.8468,IQAir,24.197573,25.254466623153235,23.624126088944056
116,Jalan Pasir Putih II,2025-03-06,25.387500000000003,-6.1255,106.8468,IQAir,24.181122,25.254466623153235,22.48867090750139
117,Jalan Pasir Putih II,2025-03-06,25.387500000000003,-6.1255,106.8468,IQAir,24.181122,25.254466623153235,22.48867090750139
118,Jeruk Purut,2025-03-06,37.13333333333333,-6.2842,106.8118,IQAir,40.149227,39.74283799171448,40.34828777139196
119,Jeruk Purut,2025-03-06,37.13333333333333,-6.2842,106.8118,IQAir,40.34944,39.70904592196147,40.32165101811632
120,KRN,2025-03-06,33.476190476190474,-6.1439,106.899,IQAir,31.460218,32.13121836179048,31.27895562689465
121,KRN,2025-03-06,33.476190476190474,-6.1439,106.899,IQAir,31.460218,32.13121836179048,31.27895562689465
122,KRN,2025-03-06,33.476190476190474,-6.1439,106.899,IQAir,31.400166,32.13069878468674,31.043513333765866
123,KRN,2025-03-06,33.476190476190474,-6.1439,106.899,IQAir,31.400166,32.13069878468674,31.043513333765866
124,Kemang Dalam IX,2025-03-06,36.27777777777778,-6.2683,106.8192,IQAir,39.23354,38.015864478217225,40.744229430195865
125,Kemang Dalam IX,2025-03-06,36.27777777777778,-6.2683,106.8192,IQAir,39.31862,38.0460280058119,40.58319558661369
126,Kemang Timur V,2025-03-06,33.5,-6.263,106.8259,IQAir,39.23354,38.015864478217225,40.744229430195865
127,Kemang Timur V,2025-03-06,33.5,-6.263,106.8259,IQAir,39.31862,38.0460280058119,40.58319558661369
128,Kemang V,2025-03-06,36.294117647058826,-6.2631,106.8205,IQAir,39.23354,38.015864478217225,40.744229430195865
129,Kemang V,2025-03-06,36.294117647058826,-6.2631,106.8205,IQAir,39.31862,38.0460280058119,40.58319558661369
130,Kompas Gramedia,2025-03-06,31.666666666666668,-6.2098,106.7951,IQAir,39.446426,36.44360888163248,36.11388156410757
131,Kompas Gramedia,2025-03-06,31.666666666666668,-6.2098,106.7951,IQAir,38.90776,36.13048934936522,36.14943309173104
132,Layar Permai PIK,2025-03-06,29.11111111111111,-6.1077,106.753,IQAir,34.234898,32.164985287984216,36.22134673489978
133,Layar Permai PIK,2025-03-06,29.11111111111111,-6.1077,106.753,IQAir,34.225266,32.18090212927925,36.204589778265884
134,Pantai Mutiara,2025-03-06,31.916666666666668,-6.1101,106.7957,IQAir,32.032288,31.491972360610962,32.106250808523534
135,Pantai Mutiara,2025-03-06,31.916666666666668,-6.1101,106.7957,IQAir,32.160793,31.585509307649403,32.154982572275905
136,"Pulo Mas, Kayu Putih",2025-03-06,27.941176470588236,-6.1834,106.8874,IQAir,32.807148,28.466762539551176,30.15939731915173
