,station,date,pm25,latitude,longitude,sourceid,pm25_xgb,pm25_rf,pm25_lgbm
130,Wisma Barito Pacific,2025-10-04,45.86000000000001,-6.197,106.7984,IQAir,37.762432,41.82900810453626,36.72238992646412
131,Wisma Barito Pacific,2025-10-04,45.86000000000001,-6.197,106.7984,IQAir,36.87081,41.93694498274062,36.67565676187306
132,Wisma Matahari Power,2025-10-04,48.3125,-6.2087,106.7839,IQAir,44.532784,46.63509717946051,44.056515942495146
133,Wisma Matahari Power,2025-10-04,48.3125,-6.2087,106.7839,IQAir,44.427658,46.51136489494231,44.00376853186672
137,AHP Capital Place,2025-10-05,55.04545454545455,-6.232,106.8205,IQAir,38.962643,38.96136057930667,38.96260815563125
138,ANTARA ETP - Bundaran HI,2025-10-05,51.916666666666664,-6.1955,106.8243,IQAir,62.693645,63.53782801822904,62.86817034848607
139,ANTARA ETP - Bundaran HI,2025-10-05,51.916666666666664,-6.1955,106.8243,IQAir,64.91625,64.49786829870587,65.86348560324318
140,Agung Sedayu Group - WTP Ebony (BGM),2025-10-05,53.95454545454545,-6.1039,106.7459,IQAir,52.40377,53.847834756656646,52.73731039231914
141,Agung Sedayu Group - WTP Ebony (BGM),2025-10-05,53.95454545454545,-6.1039,106.7459,IQAir,52.40377,53.847834756656646,52.73731039231914
142,Agung Sedayu Group - WTP Ebony (BGM),2025-10-05,53.95454545454545,-6.1039,106.7459,IQAir,52.206905,53.48935994564288,52.46395971495358
143,Agung Sedayu Group - WTP Ebony (BGM),2025-10-05,53.95454545454545,-6.1039,106.7459,IQAir,52.206905,53.48935994564288,52.46395971495358
144,Antara ETP - Antara Heritage Center,2025-10-05,44.833333333333336,-6.1656,106.8341,IQAir,48.791527,46.13939218754121,46.89494117791827
145,Antara ETP - Antara Heritage Center,2025-10-05,44.833333333333336,-6.1656,106.8341,IQAir,48.850246,46.51931399157134,46.93926412496114
146,Ascott Kuningan - myhome,2025-10-05,56.78260869565217,-6.2251,106.824,IQAir,38.962643,38.96136057930667,38.96260815563125
156,Cilandak Barat,2025-10-05,59.59090909090909,-6.2997,106.8006,IQAir,64.69731,59.94627269321017,63.961388656263054
157,Cilandak Barat,2025-10-05,59.59090909090909,-6.2997,106.8006,IQAir,65.93977,59.68694816801283,64.04028859216524
158,Cipete Selatan Asem II,2025-10-05,46.791666666666664,-6.2736,106.8042,IQAir,57.31272,55.06693293889364,55.83845911640777
159,Cipete Selatan Asem II,2025-10-05,46.791666666666664,-6.2736,106.8042,IQAir,57.333687,55.01226220236884,55.67310461672101
172,DKJ01 Bundaran HI,2025-10-05,58.08238095238095,-6.1948,106.8231,UdaraJakarta,62.693645,63.53782801822904,62.86817034848607
173,DKJ01 Bundaran HI,2025-10-05,58.08238095238095,-6.1948,106.8231,UdaraJakarta,64.91625,64.49786829870587,65.86348560324318
174,DKJ02 Kelapa Gading,2025-10-05,57.107619047619046,-6.1539,106.908,UdaraJakarta,60.555645,66.27301573647394,66.82654664636449
175,DKJ02 Kelapa Gading,2025-10-05,57.107619047619046,-6.1539,106.908,UdaraJakarta,60.85882,65.79934518178305,66.85528317098847
176,DKJ03 Jagakarsa,2025-10-05,44.261428571428574,-6.3362,106.8186,UdaraJakarta,61.688503,58.92633382161457,63.3908003624275
177,DKJ03 Jagakarsa,2025-10-05,44.261428571428574,-6.3362,106.8186,UdaraJakarta,63.104652,58.88190164566039,63.39582053693479
178,DKJ04 Lubang Buaya,2025-10-05,39.42809523809523,-6.2903,106.9086,UdaraJakarta,67.007996,60.910213122897694,64.3051016534297
179,DKJ04 Lubang Buaya,2025-10-05,39.42809523809523,-6.2903,106.9086,UdaraJakarta,67.09343,60.95770172542998,64.29457889945364
